ACTUAL_AREA,ACTUAL_WORTH,AREA_EN,INSTANCE_DATE,PROCEDURE_AREA,PROCEDURE_NUMBER,PROCEDURE_YEAR,PROPERTY_TOTAL_VALUE,PROPERTY_TYPE_EN,PROP_SUB_TYPE_EN,ROW_STATUS_CODE
594.59,2000000,Al Rashidiya,2026-03-17T13:52:57,594.59,1542,2026,2000000,Land,Residential,COMPLETED
70.41,2000000,Al Merkadh,2026-03-24T13:56:45,70.41,1608,2026,2000000,Unit,Flat,COMPLETED
211.35,2047455,Hor Al Anz,2026-03-27T10:26:04,211.35,1656,2026,2047455,Land,Residential,COMPLETED
277.68,2143419.64,Al Yelayiss 1,2026-03-25T00:52:33,277.68,1614,2026,2143420,Building,Villa,COMPLETED
278.42,2144755.49,Al Yelayiss 1,2026-03-05T11:16:13,278.42,1392,2026,2144755,Building,Villa,COMPLETED
278.42,2144755.49,Al Yelayiss 1,2026-03-05T11:05:31,278.42,1390,2026,2144755,Building,Villa,COMPLETED
109.18,2153835.54,Al Merkadh,2026-03-13T13:33:15,109.18,1489,2026,2153836,Unit,Flat,COMPLETED
107.3,2160073.84,Burj Khalifa,2026-03-16T14:55:34,107.3,1529,2026,2160074,Unit,Flat,COMPLETED
101.87,2175440.42,Business Bay,2026-03-17T13:07:23,101.87,1541,2026,2175440,Unit,Office,COMPLETED
150.4,2178615.43,Al Hebiah Third,2026-03-16T10:17:12,150.4,1507,2026,2178615,Unit,Flat,COMPLETED
145.53,2199384.62,Marsa Dubai,2026-03-09T14:54:28,145.53,1426,2026,2199385,Unit,Flat,COMPLETED
206.4,2200000,Madinat Al Mataar,2026-03-26T11:14:49,206.4,1640,2026,2200000,Unit,Flat,COMPLETED
85.93,2231125.08,Business Bay,2026-03-19T11:02:02,85.93,1561,2026,2231125,Unit,Flat,COMPLETED
100.59,2234721.39,Al Khairan First,2026-03-05T13:46:47,100.59,1398,2026,2234721,Unit,Flat,COMPLETED
260.59,2243972,Al Raffa,2026-03-02T13:16:47,260.59,1347,2026,2243972,Land,Commercial,COMPLETED
102.84,2333256.11,Burj Khalifa,2026-03-03T14:44:04,102.84,1365,2026,2333256,Unit,Flat,COMPLETED
464.52,2400000,Muhaisanah Second,2026-03-03T10:52:48,464.52,1357,2026,2400000,Land,Industrial,COMPLETED
90.16,2441462.38,Marsa Dubai,2026-03-26T08:49:37,90.16,1637,2026,2441462,Unit,Flat,COMPLETED
116.05,2462197.12,Al Merkadh,2026-03-02T11:34:58,116.05,1343,2026,2462197,Unit,Flat,COMPLETED
232.26,2500023,Al Satwa,2026-03-03T10:47:25,232.26,1356,2026,2500023,Land,Residential,COMPLETED
1026.58,2600000,Hor Al Anz East,2026-03-17T12:17:56,1026.58,1536,2026,2600000,Land,Residential,COMPLETED
929.03,2600000,Al Waheda,2026-03-10T11:37:47,929.03,1443,2026,2600000,Land,Residential,COMPLETED
189.03,2620430.13,Nad Al Shiba First,2026-03-26T10:38:21,189.03,1638,2026,2620430,Unit,Flat,COMPLETED
223.15,2642161,Al Muteena,2026-03-17T10:35:56,223.15,1531,2026,2642161,Land,Commercial / Offices / Residential,COMPLETED
160.2,2700000,Wadi Al Safa 5,2026-03-16T13:33:32,160.2,1522,2026,2700000,Building,Villa,COMPLETED
232.26,2750026,Al Satwa,2026-03-09T13:09:50,232.26,1422,2026,2750026,Land,Residential,COMPLETED
126.44,2779008.92,Marsa Dubai,2026-03-03T13:43:34,126.44,1364,2026,2779009,Unit,Flat,COMPLETED
124.63,2816096.12,Business Bay,2026-03-26T14:26:38,124.63,1650,2026,2816096,Unit,Flat,COMPLETED
292.82,2819087.5,Hadaeq Sheikh Mohammed Bin Rashid,2026-03-24T12:42:43,292.82,1603,2026,2819088,Building,Villa,COMPLETED
892.24,2881195,Al Khawaneej Second,2026-03-10T11:46:59,892.24,1444,2026,2881195,Land,,COMPLETED
1858.06,3000000,Ras Al Khor Industrial Second,2026-03-26T12:15:35,1858.06,1646,2026,3000000,Land,Industrial,COMPLETED
122.12,3143770,Zaabeel Second,2026-03-09T02:28:08,122.12,1412,2026,3143770,Unit,Flat,COMPLETED
117.44,3163001.4,Burj Khalifa,2026-03-30T19:08:47,117.44,1681,2026,3163001,Unit,Flat,COMPLETED
336.87,3263431,Al Hamriya,2026-03-31T10:36:18,336.87,1696,2026,3263431,Land,Commercial,COMPLETED
