ACTUAL_AREA,ACTUAL_WORTH,AREA_EN,INSTANCE_DATE,PROCEDURE_AREA,PROCEDURE_NUMBER,PROCEDURE_YEAR,PROPERTY_TOTAL_VALUE,PROPERTY_TYPE_EN,PROP_SUB_TYPE_EN,ROW_STATUS_CODE
2941.96,30083615,Al Qusais Industrial Fifth,2026-03-10T09:04:34,2941.96,1430,2026,30083615,Land,Commercial,COMPLETED
3108.07,30109459,Al Hebiah Fourth,2026-03-03T11:14:38,3108.07,1358,2026,30109459,Land,Residential Flats,COMMITTED
2820,30354198,Wadi Al Safa 5,2026-03-16T12:20:10,2820,1521,2026,30354198,Land,Commercial,COMPLETED
9985.82,32245910,Madinat Hind 3,2026-03-16T11:26:07,9985.82,1515,2026,32245910,Land,Residential,COMPLETED
4132.87,33364350,Me'Aisem First,2026-03-18T11:27:13,4132.87,1550,2026,33364350,Land,Residential Flats,COMMITTED
5673.87,33590133,Al Goze First,2026-03-31T09:54:11,5673.87,1692,2026,33590133,Land,School,COMPLETED
5009.5,33970707,Me'Aisem First,2026-03-10T08:29:09,5009.5,1429,2026,33970707,Land,Commercial,COMPLETED
2127.48,34349973,Um Suqaim Second,2026-03-05T14:06:15,2127.48,1400,2026,34349973,Land,Residential,COMPLETED
2687.99,34719907,Al Hebiah Second,2026-03-24T07:56:30,2687.99,1592,2026,34719907,Land,Villa,COMPLETED
2688,34720036,Al Hebiah Second,2026-03-24T07:54:18,2688,1591,2026,34720036,Land,Villa,COMPLETED
2688,34720036,Al Hebiah Second,2026-03-24T07:27:48,2688,1580,2026,34720036,Land,Villa,COMPLETED
2688,34720036,Al Hebiah Second,2026-03-24T07:34:42,2688,1582,2026,34720036,Land,Villa,COMPLETED
11452.54,36982199,Madinat Hind 3,2026-03-16T11:21:46,11452.54,1513,2026,36982199,Land,Residential,COMPLETED
3124.21,36991552,Al Hebiah Second,2026-03-24T10:58:47,3124.21,1599,2026,36991552,Land,Land,COMPLETED
2881.12,37214505,Al Hebiah Second,2026-03-24T07:49:36,2881.12,1589,2026,37214505,Land,Villa,COMPLETED
2881.99,37225743,Al Hebiah Second,2026-03-24T07:51:54,2881.99,1590,2026,37225743,Land,Villa,COMPLETED
994.28,37458157,Al Wasl,2026-03-05T15:50:13,994.28,1403,2026,37458157,Land,Residential,COMPLETED
3032.04,39163890,Al Hebiah Second,2026-03-24T08:22:32,3032.04,1594,2026,39163890,Land,Land,COMPLETED
3055.08,39461491,Al Hebiah Second,2026-03-24T08:42:54,3055.08,1595,2026,39461491,Land,Land,COMPLETED
7362.66,39625468,Al Goze Industrial Second,2026-03-09T11:24:34,7362.66,1417,2026,39625468,Land,Industrial,COMPLETED
3078.12,39759091,Al Hebiah Second,2026-03-24T08:59:50,3078.12,1596,2026,39759091,Land,Villa,COMPLETED
5159.65,40000000,Al Bada,2026-03-06T13:24:12,5159.65,1407,2026,40000000,Land,Commercial,COMPLETED
1858.05,40000000,Al Warqa First,2026-03-25T10:02:08,1858.05,1620,2026,40000000,Land,Residential Flats,COMPLETED
3101.16,40056691,Al Hebiah Second,2026-03-24T10:55:31,3101.16,1598,2026,40056691,Land,Land,COMPLETED
3001.69,40387364,Nad Al Hamar,2026-03-30T13:41:24,3001.69,1673,2026,40387364,Land,Commercial,COMMITTED
2099.98,40687154,Al Jadaf,2026-03-30T14:06:47,2099.98,1677,2026,40687154,Land,Commercial,COMPLETED
2628.69,42442434,Mankhool,2026-03-23T16:47:20,2628.69,1579,2026,42442434,Land,,COMMITTED
3292.39,42526748,Nad Al Shiba First,2026-03-23T11:56:29,3292.39,1571,2026,42526748,Land,Commercial,COMPLETED
2893.74,46721892,Um Suqaim First,2026-03-24T11:11:43,2893.74,1601,2026,46721892,Land,Residential,COMPLETED
1393.55,50000000,Al Nahda Second,2026-03-30T10:02:41,1393.55,1668,2026,50000000,Land,Commercial,COMPLETED
5908.63,55000000,Um Suqaim First,2026-03-12T15:28:31,5908.63,1476,2026,55000000,Land,Residential,COMPLETED
2594.77,56557936,Bukadra,2026-03-26T12:58:17,2594.77,1648,2026,56557936,Land,Sports Club,COMPLETED
53048.01,57100347,Saih Shuaib 1,2026-03-04T11:32:54,53048.01,1374,2026,57100347,Land,Land,COMPLETED
3651.09,58949951,Al Barsha First,2026-03-11T14:58:51,3651.09,1461,2026,58949951,Land,Exhbition Center,COMPLETED
2687.99,59313174,Al Hebiah Second,2026-03-24T07:37:40,2687.99,1584,2026,59313174,Land,Villa,COMPLETED
2687.99,59313174,Al Hebiah Second,2026-03-24T07:46:54,2687.99,1587,2026,59313174,Land,Villa,COMPLETED
2688,59313395,Al Hebiah Second,2026-03-24T07:44:18,2688,1586,2026,59313395,Land,Villa,COMPLETED
2688,59313395,Al Hebiah Second,2026-03-24T07:41:19,2688,1585,2026,59313395,Land,Villa,COMPLETED
5573.64,59994104,Al Barshaa South Third,2026-03-25T10:19:21,5573.64,1622,2026,59994104,Land,Residential,COMMITTED
1858.06,59999916,Al Goze First,2026-03-11T12:17:39,1858.06,1458,2026,59999916,Land,Commercial,COMPLETED
4645.15,59999916,Al Raffa,2026-03-25T09:58:59,4645.15,1619,2026,59999916,Land,Commercial,COMPLETED
18621.19,60130988,Al Rowaiyah First,2026-03-06T08:21:15,18621.19,1404,2026,60130988,Land,Residential,COMPLETED
28823.3,62050224,Al Khairan First,2026-03-12T11:29:32,28823.3,1472,2026,62050224,Land,Residential,COMPLETED
4897.1,63254274,Al Hebiah Second,2026-03-24T08:04:29,4897.1,1593,2026,63254274,Land,Land,COMPLETED
2881.13,63575000,Al Hebiah Second,2026-03-24T07:49:34,2881.13,1588,2026,63575000,Land,Villa,COMPLETED
2881.99,63593977,Al Hebiah Second,2026-03-24T07:34:54,2881.99,1583,2026,63593977,Land,Villa,COMPLETED
4266.94,64300482,Jabal Ali First,2026-03-31T19:24:09,4266.94,1703,2026,64300482,Land,Commercial,COMPLETED
24216.57,65166184,Al Goze Industrial First,2026-03-04T10:36:30,24216.57,1369,2026,65166184,Land,Industrial,COMPLETED
4287.39,69223556,Nad Al Shiba First,2026-03-04T12:58:06,4287.39,1379,2026,69223556,Land,Commercial,COMMITTED
4614.77,74509384,Al Merkadh,2026-03-16T11:01:46,4614.77,1511,2026,74509384,Land,,COMPLETED
4429.28,78665928,Al Satwa,2026-03-02T12:32:22,4429.28,1345,2026,78665928,Land,Commercial,COMPLETED
4702.77,82257873,Al Satwa,2026-03-02T12:36:48,4702.77,1346,2026,82257873,Land,Commercial,COMPLETED
8994.05,82289397,Marsa Dubai,2026-03-31T10:29:16,8994.05,1694,2026,82289397,Land,Commercial,COMPLETED
3169.82,85000000,Al Thanyah First,2026-03-18T12:41:03,3169.82,1554,2026,85000000,Land,Commercial,COMPLETED
32498.62,87452974,Saih Shuaib 1,2026-03-04T10:49:50,32498.62,1370,2026,87452974,Land,,COMPLETED
33418.03,89927083,Saih Shuaib 2,2026-03-26T12:31:32,33418.03,1647,2026,89927083,Land,Industrial,COMPLETED
5440.03,90000000,Ras Al Khor Industrial First,2026-03-05T10:11:00,5440.03,1385,2026,90000000,Land,Warehouse,COMPLETED
4798.81,92977040,Wadi Al Safa 5,2026-03-25T12:47:53,4798.81,1625,2026,92977040,Land,Commercial,COMPLETED
26154.62,98534000,Al Goze Fourth,2026-03-31T07:38:36,26154.62,1683,2026,98534000,Land,,COMPLETED
4617.65,104378238,Wadi Al Safa 2,2026-03-23T12:42:52,4617.65,1574,2026,104378238,Land,Residential,COMPLETED
131636.58,106269224,Al Warsan Third,2026-03-27T10:01:49,131636.58,1655,2026,106269224,Land,,COMMITTED
5574.23,110000000,Al Warqa First,2026-03-02T10:04:35,5574.23,1335,2026,110000000,Land,,COMPLETED
15805.97,110587022,Jumeirah First,2026-03-31T10:53:16,15805.97,1698,2026,110587022,Land,Residential,COMPLETED
4839.3,114597431,Al Merkadh,2026-03-13T14:12:17,4839.3,1490,2026,114597431,Land,Residential,COMPLETED
929.03,119999832,Trade Center Second,2026-03-26T15:07:40,929.03,1652,2026,119999832,Land,Commercial,COMMITTED
5032.79,130013876,Jumeirah Second,2026-03-04T11:13:07,5032.79,1372,2026,130013876,Land,,COMPLETED
52158,140355874,Al Qusais Industrial First,2026-03-04T12:10:52,52158,1376,2026,140355874,Land,,COMPLETED
34284.39,156839342,Al Hebiah Second,2026-03-24T07:30:11,34284.39,1581,2026,156839342,Land,Land,COMPLETED
91385.89,442650862,Palm Deira,2026-03-23T13:34:18,91385.89,1577,2026,442650862,Land,Commercial,COMPLETED
185806,559999217,Wadi Al Safa 4,2026-03-26T11:45:11,185806,1644,2026,559999217,Land,Residential,COMPLETED
86929.93,561423044,Um Hurair Second,2026-03-05T12:31:16,86929.93,1397,2026,561423044,Land,General Services,COMPLETED
6345.71,580588997,Al Wasl,2026-03-10T09:52:58,6346,1431,2026,580588997,Land,Commercial,COMPLETED
3716.12,671999060,Trade Center First,2026-03-09T13:08:22,3716.12,1421,2026,671999060,Land,Commercial,COMPLETED
3716.12,671999060,Trade Center First,2026-03-09T13:08:22,3716.12,1421,2026,671999060,Land,Commercial,COMPLETED
30983537.94,2334525928,Umm Addamin,2026-03-02T10:27:24,30983537.94,1336,2026,2334525928,Land,Agricultural,COMPLETED
