ADOPTION_DATE,AREA_EN,CNT_BUILDING,CNT_LAND,CNT_TOTAL,CNT_UNIT,CNT_VILLA,COMPLETION_DATE,DESCRIPTION_EN,DEVELOPER_EN,DEVELOPER_NUMBER,END_DATE,ESCROW_ACCOUNT_NUMBER,INSPECTION_DATE,MASTER_PROJECT_EN,PERCENT_COMPLETED,PROJECT_EN,PROJECT_NUMBER,PROJECT_STATUS,PROJECT_VALUE,START_DATE,ZONE_EN
2025-11-28T10:46:12,Jumeirah First,0,0,176,176,0,,"2 Residential Buildings comprising of 44 Residential units (2BHK=10, 3BHK=17, 4BHK=12, 5BHK=3, PH=2)
Solaya 4: B+G+R+6 (18# -Resi. Units).
Solaya 6: B+G+R+7 (26# -Resi. Units).
",LA MER CENTRAL PROPERTY CO. L.L.C,1941,2029-09-30T00:00:00,1010083457,2025-11-11T10:42:08,,0,"Solaya (4,6)",4122,ACTIVE,398291189,2026-03-31T00:00:00,Dubai Development Authority (DDA)
2025-11-28T10:52:37,Jumeirah First,0,0,55,55,0,,"2 Residential Buildings comprising of 55 Residential units (2BHK=8, 3BHK=19, 4BHK=22, 5BHK=4, PH=2)
Solaya 5: B+G+R+7 (26# -Resi. Units).
Solaya 7: B+G+R+8 (29# -Resi. Units).
",LA MER CENTRAL PROPERTY CO. L.L.C,1941,2029-09-30T00:00:00,1010083432,2025-11-04T10:40:30,,0,"Solaya (5,7)",4123,ACTIVE,524319595,2026-03-31T00:00:00,Dubai Development Authority (DDA)
2025-12-25T10:26:42,Business Bay,0,0,684,684,0,,Proposed Residential Development consisting of 5 Basement + Ground + 11 Podiums + 98 Floors + Roof ,SOBHA L.L.C,966,2032-12-31T00:00:00,29411206,2025-10-22T14:53:33,,0,Sobha SkyParks,4137,ACTIVE,1340851759,2026-04-01T00:00:00,Dubai Municipality
2025-12-29T10:59:50,Al Jadaf,0,0,131,131,0,,G+2P+13+R Residencial Building,JAD GLOBAL REAL ESTATE DEVELOPMENT L.L.C,1901,2028-04-30T00:00:00,1.58E+12,2025-11-07T12:01:11,,0,J188,4145,ACTIVE,60000000,2026-04-01T00:00:00,Dubai Development Authority (DDA)
,Warsan Fourth,0,0,372,372,0,,Residential Building ( 2B+G+3P+15+R) with Retails@ GF,G F S REAL ESTATE DEVELOPMENT L.L.C,2224,2028-12-01T00:00:00,19543516,2025-11-11T12:11:12,,0,Coventry 2,4178,PENDING,102000000,2026-03-01T00:00:00,
2025-11-04T12:31:29,Dubai Investment Park Second,0,0,547,0,547,,"Residential development consisting of 37 villas (G+2) and 510 townhouse units (G+1)
",EMAAR DEVELOPMENT P.J.S.C.,1211,2029-08-31T00:00:00,3.54E+12,2025-10-28T11:40:23,,0,Grand Polo - Equiterra ,4185,ACTIVE,629557055,2026-03-09T00:00:00,Dubai Municipality
2025-11-27T09:27:11,Palm Deira,0,0,82,82,0,,"Residential Residential LIA comprising of 81 
Residential units (1BHK=36, 2BHK=37, 3BHK=6, 
Penthouse Simplex 3BHK=1,Penthouse Simplex 2BHK=1) and 1 retail unit. 
Duplex 3BHK=4 and Penthouse Duplex 4BHK=1)",AVENEW REAL ESTATE DEVELOPMENT L.L.C,1511,2028-05-20T00:00:00,1.58E+12,2025-10-31T12:34:12,,0,LIA,4195,ACTIVE,70000000,2026-03-20T00:00:00,Trakhees
2025-11-13T10:36:37,Al Khairan First,0,0,766,766,0,,"Proposed Multi-storey Residential Development
(B+G+3P+23 Floor+ Roof)
Having 219 residential units.
",DUBAI CREEK HARBOUR L.L.C,1224,2030-04-30T00:00:00,2.06E+11,2025-11-03T16:40:16,,0,Creek Bay,4198,ACTIVE,1062079000,2026-03-31T00:00:00,Dubai Development Authority (DDA)
2025-11-18T09:19:35,Bukadra,0,0,190,190,0,,Residential Building B+G+3P+20 floors ,BUKADRA DEVELOPMENT L.L.C,2349,2029-08-31T00:00:00,1.44E+13,2025-11-07T14:12:07,,0,R Home MH,4214,ACTIVE,145048874,2026-03-31T00:00:00,Dubai Municipality
2025-11-18T18:48:51,Al Yufrah 1,0,0,139,0,139,,"Residential development consisting of 139 villas (G+2)
",EMAAR DEVELOPMENT P.J.S.C.,1211,2029-12-31T00:00:00,9.01E+15,2025-11-10T10:33:48,,0,The Valley - Avelia,4220,ACTIVE,394816194,2026-03-16T00:00:00,Dubai Development Authority (DDA)
